stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,13.13,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0.81,1.61,12.09,1.61,0,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,0,1.15,0,0,0,0,1.15,0,0,12.05,1.15,0,0,0,2.87,0,0
 60-70,0,0,0,4.91,0,0.98,0.98,0,0.98,0,0,1.96,0,0,27.48,0,0,0,0,3.93,0,0
 72-82,0,0,0,8.83,0.98,0,2.94,0.98,0,0,0,2.94,0,1.96,23.56,0,0,0,0,0,0,0
 84-94,0,0,0,8.5,0,0,3.19,0,0,0,0,4.25,0,0,9.56,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,1.09,0,0,1.09,0,4.37,0,2.19,6.56,1.09,2.19,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,0,0,0.77,0.77,2.3,0,0,6.89,0,0,0.77,0,0,0,0
120,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0,1.96
