stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,23,299,88,0,126,0,5,0,32,15,0,5,0,4,0,0,3,3,143,1,0,102,1192,38,3,19,52,0,17,2,129,21,3,216,472,0,0,25,0,4
 24-34,3.28,6.57,56.64,9.03,0,183.05,0,12.31,3.28,41.04,3.28,0.82,13.95,1.64,9.03,1.64,7.39,3.28,5.75,209.32,0,2.46,79.62,1575.22,14.78,13.13,17.24,0,0,41.04,0.82,0.82,10.67,0.82,29.55,411.25,0,0,98.5,0,3.28
 36-46,1.61,2.42,31.42,5.64,0,348.85,1.61,18.53,10.47,68.48,3.22,0,5.64,0.81,0.81,0.81,2.42,3.22,4.03,194.97,0.81,3.22,64.45,2094.74,8.86,12.09,12.09,0,0,32.23,0,0.81,8.06,0,0,503.54,0,0.81,87.82,0,6.45
 48-58,0,0,28.12,0,0,600.2,2.3,16.07,13.77,110.74,2.87,1.72,10.33,1.15,5.16,4.02,5.74,5.16,10.33,273.7,5.16,10.9,35.58,1454.6,6.31,9.75,14.92,0,1.72,23.53,0,0,2.3,0.57,0,307.56,0,2.3,87.79,0,6.31
 60-70,0,0.98,46.13,0.98,0,956,7.85,18.65,17.67,158.03,2.94,0,5.89,1.96,4.91,9.82,2.94,2.94,4.91,270.9,0.98,11.78,27.48,1602.83,4.91,13.74,14.72,0,2.94,24.54,0,0,5.89,0,0,211.03,0,13.74,77.54,7.85,11.78
 72-82,2.94,0.98,39.27,6.87,0.98,676.37,1.96,23.56,21.6,134.49,16.69,1.96,12.76,2.94,10.8,4.91,6.87,2.94,7.85,373.03,4.91,20.61,36.32,1083.75,2.94,17.67,32.39,0,3.93,44.17,0.98,0,5.89,0.98,0,75.59,1.96,23.56,160.99,33.38,8.83
 84-94,4.25,1.06,64.78,3.19,0,420.57,2.12,45.67,11.68,93.46,24.43,1.06,6.37,11.68,23.36,15.93,10.62,8.5,6.37,235.77,1.06,24.43,35.05,527.83,2.12,13.81,13.81,0,2.12,81.78,0,0,9.56,1.06,0,43.54,1.06,28.68,125.32,31.86,11.68
 96-106,0,1.09,87.43,4.37,1.09,358.45,1.09,27.32,17.49,91.8,30.6,1.09,14.21,8.74,18.58,18.58,17.49,9.84,13.11,199.99,9.84,13.11,22.95,375.94,10.93,20.76,29.51,0,15.3,66.66,0,0,7.65,2.19,0,20.76,4.37,37.16,160.65,39.34,7.65
108-118,1.53,1.53,90.38,5.36,5.36,265.79,0,54.38,15.32,66.64,25.28,0,7.66,5.36,19.92,24.51,9.96,15.32,8.43,164.68,2.3,13.02,18.38,494.05,8.43,14.55,16.85,0,13.79,62.04,1.53,0,9.96,1.53,0,15.32,4.6,22.98,100.34,26.04,9.96
120,0,1.96,72.51,9.8,3.92,225.38,3.92,39.2,11.76,80.35,17.64,0,7.84,15.68,17.64,11.76,1.96,11.76,3.92,139.14,1.96,17.64,19.6,472.31,13.72,11.76,29.4,0,15.68,58.79,0,0,9.8,0,0,11.76,1.96,25.48,88.19,29.4,3.92
