stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0,3.28,4.93,0,0,0,0,0,0,0,22.16,0,0
 36-46,0,0,0,0,0,0,0.81,0,28.2,0,0,0,0,0,0,2.42,3.22,0,0,0,0,0,0,0,24.98,0,0
 48-58,0,0,0,0,0,0,0,0,57.38,0,0,0,1.15,0,1.15,2.87,2.3,0,0,0,0,0,2.3,0,40.17,0,0
 60-70,0,0,0,0.98,2.94,0,0,0,77.54,0,0,0,0.98,0,0,4.91,2.94,0,0,0,0,0,0,0,39.26,0,0
 72-82,0,0,0,0.98,11.78,0,0,0,85.4,0,0,0,1.96,0,0.98,6.87,0.98,0.98,0,0,0,0,0,0,45.16,0,0.98
 84-94,0,0,1.06,0,10.62,0,0,0,132.75,0,0,0,0,1.06,0,3.19,2.12,0,0,2.12,0,0,0,0,58.41,0,0
 96-106,0,0,2.19,2.19,8.74,1.09,1.09,1.09,162.83,0,0,1.09,3.28,0,0,13.11,1.09,0,0,1.09,0,1.09,0,1.09,86.33,2.19,0
108-118,0,0,0.77,0.77,9.96,0.77,0,0,111.83,1.53,0,0,3.83,0,0,5.36,0.77,0.77,0,0,0.77,0,0,0,85.79,0,0
120,0,0,0,3.92,13.72,1.96,0,0,182.26,0,1.96,0,1.96,0,0,17.64,3.92,0,0,0,0,0,0,0,80.35,0,0
