stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,0,12.59,0,0,3.15,0,0,0
 14-21,0,0,0,3,7,9,0,4,0,0,0,45,0,0,1,0,0,0,0,0,13,0,0,2,63,2,3,6,6,0,0,13,31,1,11,164,0,0,0
 24-34,0,0,2.46,0.82,6.57,0,0,12.31,0,0.82,1.64,64.85,0,0,0,0,2.46,0,0,0,18.06,0,0,13.95,166.63,2.46,22.16,12.31,0,0,4.1,0,17.24,0.82,7.39,150.22,0,1.64,0
 36-46,0,0,0,0.81,3.22,1.61,0,16.11,2.42,0,0.81,45.92,0,0,0,0.81,2.42,0.81,0,0,21.75,0,0,5.64,155.49,2.42,24.98,4.03,0,0,12.09,0,6.45,1.61,0,99.9,0,4.03,0
 48-58,0,0,0,0,5.74,0,0,28.69,0.57,1.72,1.72,36.72,0,0,0.57,0.57,0,0,1.15,0.57,13.2,0.57,1.72,1.72,98.69,0.57,11.48,2.3,0,0.57,5.74,0,1.15,0.57,0,74.59,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,39.26,0,0,0.98,58.89,0,0,0,0,0,0,2.94,0.98,29.45,0,2.94,8.83,105.02,0,21.59,9.82,0,0,4.91,0,2.94,0,0,41.22,0,0,0
 72-82,0,0,4.91,0,6.87,2.94,0,40.25,0,0,0.98,86.39,2.94,0.98,0.98,0,0,0,7.85,0,30.43,0,1.96,1.96,105.04,0,37.3,13.74,0,0,4.91,0,1.96,0,0,21.6,0,0.98,2.94
 84-94,0,0,1.06,0,2.12,2.12,0,21.24,0,0,1.06,60.54,3.19,0,1.06,1.06,0,0,11.68,0,21.24,0,0,5.31,40.36,0,22.3,23.36,0,0,0,0,3.19,0,0,27.61,0,1.06,0
 96-106,1.09,0,4.37,0,1.09,0,0,19.67,1.09,0,0,63.39,1.09,0,2.19,2.19,0,0,21.86,0,27.32,0,1.09,1.09,42.62,0,74.31,32.79,0,0,0,0,1.09,0,0,27.32,2.19,1.09,3.28
108-118,0,0,0.77,0,2.3,0,0,22.21,0.77,0,1.53,59.75,1.53,0,0,2.3,0.77,0,12.26,0,15.32,0.77,0,1.53,45.96,0,36,16.09,0,1.53,1.53,0,0,0,0,17.62,0.77,0.77,3.06
120,0,0,0,0,7.84,0,1.96,5.88,0,0,1.96,35.28,3.92,0,0,7.84,0,0,11.76,1.96,17.64,0,0,1.96,47.03,0,23.52,23.52,0,3.92,0,0,3.92,0,0,5.88,0,1.96,1.96
