stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,576.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,10.51,0,0,0,31.54,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,307.56,7.89,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,12.59,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,270.64,6.29,0,0,91.26,0,0,6.29,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,16,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,4,53,2,0,3,3,0,2,0,12,0,11,13,0,0,0,0,0
 24-34,0,0,1.64,0.82,9.03,0.82,0,27.09,0,0,0.82,1.64,1.64,0,0,1.64,0.82,0,0.82,0,0.82,27.09,0,0,7.39,152.68,0.82,0,3.28,0,0,12.31,0,0,0,3.28,27.09,0,0,3.28,0,0.82
 36-46,0,0,0,0,2.42,0,0,20.14,0,0,0.81,3.22,0,0,0,0,0,0.81,0,1.61,1.61,10.47,0.81,0,4.03,98.29,0.81,0.81,0.81,0,0,4.03,0,0,0,0,23.36,0,0,2.42,0,0
 48-58,0,0,0,0,5.16,0,0,39.02,0.57,1.15,0,4.59,0.57,0,0,0.57,0.57,1.15,0,0,0.57,14.92,0.57,0,6.89,68.28,1.15,0,0.57,0,0,6.89,0,0,0,0,12.62,0,0,1.15,0,0.57
 60-70,0,0,0,0,6.87,0.98,0,53.98,0,0,1.96,12.76,1.96,0,0,0,0.98,0.98,0.98,1.96,0.98,16.69,0,0.98,5.89,63.8,0,0.98,0,0,0,5.89,0,0,0,0,4.91,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,1.96,1.96,0,50.06,0,0,0,11.78,0.98,0,0.98,2.94,0,0,0,3.93,0,21.6,0,0,0,60.86,0,1.96,0.98,0,0,2.94,0,0,1.96,0,5.89,0.98,0,0.98,0,0.98
 84-94,0,0,0,1.06,13.81,1.06,0,22.3,1.06,1.06,2.12,4.25,1.06,0,1.06,1.06,3.19,1.06,1.06,1.06,0,15.93,1.06,3.19,4.25,27.61,0,0,2.12,0,1.06,8.5,0,0,3.19,0,2.12,0,1.06,6.37,2.12,0
 96-106,0,0,0,0,7.65,1.09,0,5.46,0,0,1.09,8.74,3.28,0,0,1.09,1.09,2.19,0,0,0,6.56,0,0,2.19,18.58,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,6.13,1.53,0.77,14.55,0,0.77,0.77,4.6,0.77,0,0,0.77,0.77,0,1.53,0.77,0,14.55,1.53,0,0.77,22.98,0.77,1.53,0.77,0,0.77,5.36,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,1.96,17.64,7.84,0,27.44,0,3.92,0,9.8,1.96,0,1.96,3.92,1.96,0,0,0,0,13.72,0,1.96,5.88,74.47,0,0,1.96,0,0,17.64,0,0,0,0,0,0,0,1.96,1.96,0
