stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,1,0,0,1,5,0,2,25,8,0,0,0,1,2,19,0,0
 24-34,0,0,0,1.64,0.82,0.82,0,0.82,0,0,0,4.1,0,0.82,22.16,1.64,0.82,0,0,0,0.82,5.75,0,0
 36-46,0,0,0,0,2.42,0,0,2.42,0,0,0,8.86,0.81,3.22,120.85,4.03,0,0,0,0,0,22.56,0,0
 48-58,0,0,0,0,9.18,0,0,2.3,0,0,0,5.74,0,0.57,80.91,1.15,0,0,0.57,0,0,16.07,1.15,0
 60-70,0.98,0,0,0,3.93,0,0,1.96,0,0,0,3.93,0,0,28.46,0.98,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,0.98,9.82,0,0,1.96,0,0,0,6.87,0,0,47.12,0,0,0,0,0,0,4.91,0.98,0
 84-94,0,0,0,1.06,5.31,0,0,1.06,0,0,0,5.31,1.06,0,31.86,3.19,0,0,4.25,0,0,3.19,0,0
 96-106,0,0,0,0,6.56,0,0,1.09,0,0,0,6.56,0,0,13.11,2.19,0,0,4.37,0,0,2.19,0,1.09
108-118,0,0,0,3.83,3.83,0.77,0.77,1.53,1.53,0.77,0.77,3.83,0,0,14.55,5.36,0.77,0,0.77,0,0,0.77,0.77,0
120,0,0,0,1.96,3.92,0,0,3.92,0,0,0,3.92,0,0,19.6,1.96,0,0,0,0,0,0,0,0
