stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,49.95,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,0,22.03,0,0,0,0,0,0,0,163.64,12.59,0,107,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,2,0,1,2,0,0,0,2,20,1,0,1,0,0,5,0,1,6,9,1,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,3.28,0,0,0,1.64,0.82,15.6,0,0.82,0,2.46,0,0,0.82,0,0.82,9.03,2.46,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,3.22,0,0,0,4.03,0,12.09,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,2.87,0,1.15,0,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,0,3.93,0,0.98,0,0.98,0,1.96,0,7.85,0,2.94,0,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,1.96,0,3.93,0,11.78,0,0.98,0,5.89,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,5.31,0,1.06,0,3.19,0,1.06,0,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,3.28,0,3.28,0,16.39,1.09,1.09,0,3.28,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0.77,0,16.85,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0.77,2.3,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,21.56,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0
