stage,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,2,2,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0
 48-58,1.15,0,0.57,0,0,0,3.44,0.57,0,0,0,0
 60-70,6.87,0,0,0,0,0,2.94,0,0,0,0.98,0
 72-82,2.94,0.98,0,0,0.98,0,2.94,0.98,0.98,0,0,0
 84-94,2.12,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,1.53,0,0,0,0,0,0,0.77,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0
