stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,999.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,13.14,0,0,0,57.83,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,481.05,2.63,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,3.15,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2,9.44,0,0,103.85,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,1,49,1,0,2,0,0,2,0,3,1,4,25,0,0,0,0,0
 24-34,0,0,0,0,9.03,0,0,13.95,0,0.82,0,2.46,0,0,0,4.93,0.82,0,0,0,0,13.95,1.64,0,9.85,121.49,0.82,0.82,0.82,0,0,18.88,0.82,0,0.82,0,45.97,0,0,4.93,0,0.82
 36-46,0,0,0,0,4.83,0.81,0,38.67,0,0,0,4.83,0,0,0.81,3.22,0,0,1.61,0,2.42,22.56,0,1.61,7.25,92.65,0.81,0,0,0,0,9.67,3.22,0,1.61,0,27.39,0,0,5.64,0,0
 48-58,0,0,0,0,3.44,0,0,49.92,0.57,0,0,8.61,0,0,0,10.33,1.15,1.15,0,0.57,0.57,30.41,0.57,2.3,9.75,41.89,0,1.15,1.15,0,0,5.16,0,0,1.15,0,17.21,0,0,3.44,0,0.57
 60-70,0.98,0,0,0,7.85,0,0,53.98,0,3.93,0,5.89,2.94,0,0,11.78,0.98,0.98,0,0,2.94,28.46,0,2.94,2.94,37.3,0.98,1.96,1.96,0,0,18.65,0,0,0,0,5.89,0,0,1.96,0,0
 72-82,0,0,0.98,0,4.91,1.96,0,28.47,0,0,0.98,6.87,2.94,0,0,22.58,1.96,0,0.98,0.98,0,29.45,0.98,6.87,1.96,41.23,1.96,2.94,1.96,0,0,58.9,0,0,0,0,2.94,0,1.96,6.87,0.98,0
 84-94,0,0,0,0,13.81,1.06,0,24.43,0,1.06,3.19,10.62,9.56,0,0,33.99,2.12,0,1.06,0,1.06,24.43,0,4.25,4.25,35.05,0,1.06,2.12,0,0,123.2,0,0,1.06,0,0,2.12,0,3.19,0,0
 96-106,0,0,0,0,17.49,3.28,0,21.86,0,10.93,0,6.56,10.93,0,1.09,31.69,6.56,1.09,1.09,2.19,2.19,15.3,0,1.09,2.19,21.86,0,2.19,5.46,0,0,357.36,0,0,0,0,1.09,2.19,0,9.84,0,0
108-118,0,0,0,0,28.34,1.53,0.77,13.79,0.77,4.6,0,6.13,14.55,0,1.53,27.57,7.66,1.53,0.77,0,0,14.55,2.3,0.77,0.77,25.28,0,1.53,3.83,0,0.77,244.34,1.53,0,0,0,0,2.3,0.77,10.72,1.53,0
120,0,0,0,0,13.72,3.92,0,13.72,0,19.6,0,3.92,13.72,0,1.96,43.12,15.68,1.96,1.96,1.96,0,5.88,7.84,1.96,5.88,29.4,0,0,1.96,0,0,397.84,0,0,0,0,1.96,1.96,0,9.8,0,0
