stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,2,3
 24-34,0,0.82,0,3.28,0.82,0.82,1.64,0,0,0,1.64,0,2.46
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0,1.61
 48-58,0,0,1.15,1.15,0,0.57,2.3,0,0,0,0,0.57,0.57
 60-70,0,0,0.98,0.98,0.98,0,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98
 84-94,0,0,2.12,3.19,0,0,1.06,0,0,0,0,0,0
108-118,0,0,2.3,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
