stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,6.29,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,38,22,0,82,0,1,0,12,1,0,0,1,0,0,0,0,21,0,0,9,392,9,1,2,3,0,0,2,5,1,0,8,74,0,1,0,1
 24-34,0,0,0,4.1,21.34,35.3,0,255.29,0,0.82,0,2.46,0.82,0,0,5.75,2.46,0.82,1.64,1.64,35.3,0,0,17.24,626.31,1.64,1.64,6.57,0.82,0,0.82,0,0,0.82,0,2.46,87.83,0,9.03,0,8.21
 36-46,0,0,0,0,5.64,1.61,0,182.89,0,0.81,0.81,12.09,0.81,0.81,0,1.61,0,0.81,2.42,2.42,26.59,0,0,12.09,273.93,0.81,0.81,3.22,0,0,1.61,3.22,0,1.61,0,0,45.12,0,3.22,0,3.22
 48-58,0,0,0,0,4.02,5.74,0,127.38,1.15,0.57,1.15,30.99,1.15,0,0,0.57,0,1.15,0.57,1.72,22.95,0,1.72,4.02,144.03,1.15,0.57,8.03,0,0,1.15,0.57,0,0,0,0,25.25,0,1.72,0,0.57
 60-70,0,0,0,0,6.87,3.93,0,86.37,0,1.96,3.93,99.13,0.98,0,0,0,0,0.98,1.96,0,19.63,0,1.96,3.93,119.75,0,0,14.72,0,0,0.98,0,0,0,0.98,0,9.82,0,0,0,0
 72-82,0,0,0,0,6.87,5.89,0.98,74.61,0,0.98,3.93,228.73,36.32,0,0,0.98,2.94,0.98,42.21,0,27.49,0,3.93,2.94,127.62,0,1.96,30.43,0,0,0.98,0,0,4.91,0.98,0,5.89,2.94,0,1.96,0
 84-94,0,0,1.06,0,8.5,7.43,0,75.4,1.06,0,2.12,196.48,88.15,0,2.12,2.12,0,1.06,175.24,0,30.8,0,2.12,7.43,143.38,0,0,30.8,0,0,6.37,0,0,7.43,0,0,8.5,2.12,1.06,4.25,1.06
 96-106,0,0,1.09,0,6.56,9.84,2.19,78.68,0,1.09,2.19,240.43,208.73,1.09,1.09,1.09,0,5.46,207.64,0,36.06,0,2.19,3.28,126.77,0,1.09,42.62,0,1.09,8.74,0,0,2.19,0,0,4.37,0,2.19,1.09,0
108-118,0,0,0.77,0,12.26,6.89,0.77,82.72,0,0.77,2.3,264.26,314.81,0,2.3,0.77,1.53,1.53,706.98,0,32.17,0.77,1.53,9.96,197.62,2.3,0.77,26.81,0,1.53,5.36,0,0,0.77,0,0,1.53,0,1.53,0,0.77
120,1.96,0,0,0,3.92,7.84,0,41.16,0,1.96,1.96,195.98,209.7,0,3.92,0,0,1.96,105.83,0,13.72,0,1.96,5.88,127.39,1.96,0,17.64,0,1.96,5.88,0,0,0,0,0,0,0,3.92,3.92,1.96
