stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,1,0,5,0,0,0,3,1,0,1,1,1,2,2,4,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,1.64,0,0,0.82,9.85,0,0,1.64,0,0,0.82,4.1,12.31,0
 36-46,0,0,0,1.61,0.81,0,0,0,0.81,0,0,0,0,4.03,0,0.81,0,0,0,0,0,4.03,0
 48-58,0,0.57,0,1.15,0,1.15,0,0,0,0,0,0,0,4.02,0,0,1.15,0,0,0,0.57,2.3,0
 60-70,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0.98,0,0,0,0,2.94,0
 72-82,0,0,0,5.89,0,3.93,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,0,0,5.89,0
 84-94,0,0,0,3.19,0,0,0,0,0,3.19,0,0,0,3.19,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,1.09,0,1.09,4.37,0,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09,0,1.09,4.37,0
108-118,0,0,0,3.06,0,3.06,0,0,0,0,0,0.77,0.77,3.06,0,0,0.77,0,0,0,0,1.53,0.77
120,0,0,0,5.88,0,3.92,0,0,0,3.92,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0
