stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,0,62.94,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,311.55,12.59,0,0,44.06,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,6,108,14,0,21,0,0,43,3,1,1,0,0,0,0,0,0,26,0,0,9,394,6,1,4,5,3,0,4,33,0,4,473,0,0,10,0
 24-34,0,0,4.1,9.85,55,0.82,0,51.71,0.82,2.46,67.31,0,5.75,0,0,0,0,16.42,1.64,0,45.97,0,0.82,18.88,619.75,1.64,0.82,9.03,0.82,0.82,0.82,0,50.07,0.82,2.46,428.49,0,0,45.15,0
 36-46,0,0,0,0.81,20.14,0,0,78.15,0.81,1.61,82.18,0.81,1.61,1.61,0,0,0,18.53,0,0,45.12,0.81,1.61,16.11,565.58,0,3.22,15.31,0,0.81,0,0,29,0,0,407.67,0,0,20.95,0
 48-58,0,0,1.15,2.87,4.59,0,0,68.86,1.15,1.72,101.56,2.3,1.72,1.15,0,1.15,0,12.05,0.57,1.15,30.99,0,1.72,12.62,202.55,0.57,2.3,9.18,0,1.72,0,0,22.38,0,0,215.18,0,0.57,20.08,0
 60-70,0,0,1.96,0,8.83,0,0,66.74,0,1.96,184.53,6.87,0,0.98,0,3.93,0,20.61,0,0,45.15,0,0.98,7.85,120.73,0,7.85,7.85,0,0.98,0,0,18.65,0,0,106.99,0.98,0,25.52,1.96
 72-82,0,0,3.93,0,13.74,3.93,0,60.86,0,1.96,319.04,8.83,0.98,2.94,2.94,4.91,0,23.56,0,0,84.42,0,1.96,11.78,126.63,0,5.89,10.8,0,0.98,0.98,0,27.49,0,0,64.79,1.96,0,59.88,0
 84-94,0,0,4.25,2.12,13.81,0,1.06,55.23,0,1.06,184.79,19.12,0,1.06,0,13.81,1.06,26.55,4.25,0,48.85,0,1.06,5.31,91.34,0,12.74,13.81,0,1.06,0,0,45.67,0,0,47.79,7.43,0,29.74,1.06
 96-106,0,0,3.28,5.46,13.11,1.09,0,48.09,0,0,220.76,20.76,0,3.28,2.19,13.11,0,36.06,2.19,1.09,53.55,0,2.19,7.65,103.82,1.09,18.58,19.67,0,3.28,3.28,0,53.55,0,0,56.83,13.11,2.19,51.36,2.19
108-118,0,0,4.6,3.83,8.43,1.53,1.53,34.47,0,1.53,180.77,10.72,0,1.53,1.53,14.55,0.77,31.4,6.13,0,55.92,0,0.77,8.43,104.17,0,10.72,22.98,0,1.53,0,0,44.43,0,0,30.64,14.55,0,35.23,0
120,0,0,1.96,1.96,17.64,0,0,31.36,1.96,0,117.59,11.76,0,7.84,1.96,7.84,0,25.48,1.96,0,23.52,0,0,3.92,78.39,0,13.72,31.36,0,3.92,0,0,41.16,0,0,27.44,3.92,0,27.44,0
