stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,7590.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1998.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,0,5.26,0,0,70.98,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,481.05,23.66,0,0,120.92,0,13.14,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,75.53,12.59,0,0,28.32,0,3.15,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,20,1,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,35,6,0,0,1,0,0,0,1,0,5,4,0,0,0,0,0
 24-34,0,0,2.46,0,10.67,0,0.82,0,4.93,0,0,0,0.82,2.46,0,3.28,7.39,9.85,1.64,0,6.57,51.71,0,1.64,1.64,0,0,27.91,0,0,0.82,1.64,13.13,0,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,0.81,0.81,5.64,4.03,0.81,0.81,4.83,0,1.61,0,5.64,11.28,2.42,0,2.42,24.17,0,0,0,0,0,22.56,0,0,0.81,0,8.86,0,0,0,0,0
 48-58,0,0,0.57,0.57,2.3,0,2.87,2.3,7.46,1.15,2.3,5.16,1.15,0.57,1.72,0.57,0,18.36,0,0.57,1.72,13.2,0,0,0.57,0,0,17.21,0,0,0.57,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,2.94,1.96,2.94,1.96,1.96,0.98,8.83,0,4.91,1.96,1.96,21.59,0.98,0,0,5.89,0,0,0,0,0,21.59,0,0,0.98,0,0.98,0,0,0,0.98,0
 72-82,0,0,1.96,0,6.87,0,4.91,3.93,7.85,0.98,0.98,0,0.98,2.94,0.98,0.98,0,30.43,2.94,0,0.98,20.61,0,0,1.96,0,0,24.54,0,0,0.98,0,1.96,0.98,0.98,0,0,0
 84-94,0,0,1.06,0,21.24,0,8.5,5.31,4.25,3.19,1.06,0,2.12,3.19,4.25,2.12,1.06,18.05,1.06,0,0,9.56,0,1.06,0,0,0,99.83,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,3.28,0,17.49,1.09,19.67,3.28,6.56,2.19,2.19,0,4.37,2.19,6.56,3.28,0,19.67,1.09,0,0,12.02,0,3.28,1.09,0,1.09,65.57,0,0,1.09,0,0,0,0,2.19,0,1.09
108-118,0,0,3.83,0.77,19.15,0,23.74,8.43,2.3,3.06,3.06,0,3.06,4.6,17.62,2.3,3.06,19.15,3.06,1.53,0.77,10.72,0,1.53,0.77,0,0,42.89,0,0,0.77,0,1.53,0.77,0,2.3,0,0
120,0,0,1.96,0,33.32,0,11.76,5.88,3.92,0,1.96,0,3.92,3.92,3.92,3.92,0,5.88,1.96,0,0,15.68,0,1.96,0,0,0,39.2,0,0,1.96,0,0,0,0,0,0,0
