stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,1,0,2,0,0,0,0,44,0,1,0,0
 24-34,0,0,0.82,0,29.55,0,0,0.82,16.42,0.82,0,0,0,0,0,0,0,0,0,0,105.89,0,0,4.1,0,0,0,0,68.13,0,0,0,0
 36-46,0,0,0.81,0,63.65,0,0,0,109.57,0,0,0,0,0,0,0,1.61,0,0,0,147.44,0,0,3.22,0,0,0,0,119.24,0,0,0,0
 48-58,0.57,0,0.57,0,60.25,0,0,0.57,324.2,0,0,0,0,0.57,0,0,2.3,0,0.57,0.57,90.09,0.57,0,1.72,0,0,0,0,178.45,0,1.15,0,0.57
 60-70,0,0,0.98,0,50.06,0,0,0,592.84,0.98,0,0,0,0,0,0,1.96,0,0,0,56.93,0,0,2.94,0,0.98,0.98,0,110.91,0,0,0,0
 72-82,0,0,2.94,2.94,80.5,0,0,1.96,867.79,0,0,0,0.98,0.98,0.98,0.98,7.85,0.98,0,0,81.48,0,0.98,11.78,0.98,1.96,0,0,61.84,0.98,1.96,0,0
 84-94,0,0,5.31,1.06,76.47,0,0,0,632.97,1.06,0,0,0,0,0,0,3.19,0,1.06,0,38.23,0,0,4.25,0,1.06,0,0,61.6,1.06,0,1.06,1.06
 96-106,0,0,13.11,1.09,75.41,1.09,0,0,615.27,0,0,0,0,0,3.28,0,7.65,0,0,1.09,65.57,0,0,10.93,0,0,0,0,56.83,1.09,0,0,0
108-118,0,0,5.36,0,32.94,0,0.77,0,590.56,0,0.77,0.77,0.77,0,2.3,0,7.66,0,0,0.77,45.19,0,0,13.79,0,1.53,0,0.77,26.04,0.77,0.77,0,0.77
120,0,0,9.8,3.92,48.99,0,1.96,0,705.52,3.92,1.96,0,0,0,0,0,5.88,0,0,0,68.59,0,0,5.88,0,0,0,0,27.44,0,1.96,0,3.92
