stage,blastomeres,epidermis,eye,fin.epithelia,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,13.18,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,4.03,0.81,0,0,0,6.45,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,5.74,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,11.78,0,0,1.96,0.98,0,0,0
 72-82,0,1.96,0.98,0,0,0,4.91,0,0,0,0.98,0,0,0
 84-94,0,4.25,0,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,4.37,0,0,0,0,2.19,0,3.28,0,0,0,0,0
108-118,0,3.06,0.77,0,0,0.77,4.6,0,0.77,0.77,1.53,0,0,0.77
120,0,3.92,0,1.96,0,0,1.96,0,0,0,0,0,0,0
