stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,23.66,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0.82,37.76,0,2.46,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0,97.49,0,0,0,0,0,0,0,12.09,0,0,0
 48-58,0,0,1.15,0,10.9,0.57,0.57,1.72,0,0,4.59,0,0,1.72,0,0.57,172.14,0,1.15,0,0,0.57,0,0,12.05,0,0,0
 60-70,0,0,0,0,37.3,0,0,0.98,0.98,0,2.94,0,0,0.98,0,0.98,301.33,0,0.98,0,0,0,0,0,14.72,0.98,0,0
 72-82,0,0,2.94,0,54.97,0,1.96,6.87,0,0.98,8.83,0,0,11.78,0,0,308.24,0,1.96,0.98,0,1.96,0,0,15.71,0,0.98,0.98
 84-94,0,0,4.25,1.06,28.68,0,0,3.19,0,0,8.5,0,0,8.5,0,0,164.62,0,0,0,0,1.06,0,1.06,8.5,0,0,0
 96-106,0,0,1.09,0,27.32,0,0,6.56,0,0,12.02,0,0,5.46,1.09,2.19,156.28,0,3.28,0,0,1.09,0,0,5.46,0,0,1.09
108-118,0,0,2.3,0,25.28,1.53,0,4.6,0,0,10.72,0,0.77,4.6,0,0,177.7,0,0.77,0.77,0,0.77,0,0,1.53,0,0,0
120,0,0,3.92,1.96,35.28,0,1.96,3.92,0,0,29.4,0,0,3.92,0,3.92,233.21,0,3.92,1.96,0,1.96,0,0,1.96,0,0,0
