stage,axial,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,4,0,0,0,0,0,0,0,7,25,0,0,0,0,0,1,1,33,0,0,0
 24-34,0,1.64,0.82,10.67,0,4.1,0,0,0,0,0,0,1.64,15.6,11.49,0,0,0,0.82,0,0,2.46,9.85,0,0,0
 36-46,0,0,1.61,17.72,0,3.22,0,0,0,2.42,0,0,0.81,13.7,4.83,0.81,0,0,0,0,0,0,18.53,0,0,0
 48-58,0,0,1.15,25.25,0,6.89,0,0,0,6.31,0,0,0.57,9.18,1.72,0,1.15,0,0,0,0,0,6.89,0,0,0
 60-70,0,1.96,4.91,45.15,0.98,8.83,0,0.98,0,18.65,0,0,0,5.89,0,0,0,0,1.96,0,0,0,1.96,0,0,0
 72-82,0,1.96,2.94,44.17,0,6.87,0.98,1.96,0,67.73,0,0,1.96,13.74,0,0.98,0,0,4.91,0,0,0,4.91,0,0,1.96
 84-94,0,6.37,3.19,57.35,0,4.25,0,0,0,21.24,0,0,1.06,5.31,0,2.12,1.06,0,1.06,0,0,0,1.06,1.06,0,1.06
 96-106,0,6.56,12.02,76.5,1.09,1.09,0,1.09,0,49.18,0,0,1.09,5.46,0,1.09,3.28,0,3.28,0,0,0,2.19,1.09,0,3.28
108-118,0,9.96,7.66,108.77,0.77,3.83,0,0.77,1.53,55.92,0,0.77,2.3,7.66,0,0,0,0,3.83,0.77,0,0,0.77,0,0.77,0
120,0,5.88,5.88,105.83,0,1.96,0,0,0,54.87,1.96,0,1.96,11.76,0,0,0,0,1.96,0,0,0,0,0,0,1.96
