stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,26.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,7.39,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0,4.83,0.81,0
 48-58,0,0.57,0,0.57,0,0.57,0,0,0.57,0,0,0.57,0,0.57,1.15,0,6.89,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,1.96,0,7.85,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0.98,0
 84-94,0,4.25,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0,0,0,3.19,1.06,0,0,0,0,0,2.12,0,0
 96-106,0,5.46,0,0,1.09,1.09,0,0,0,0,0,0,0,0,2.19,0,2.19,0,0,0,1.09,0,0,0,0,1.09
108-118,0,2.3,0,0,0,2.3,0,0.77,3.06,0.77,0,0.77,0,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
