stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,64,21,33,0,0,0,14,5,2,0,0,6,0,0,1,0,34,0,0,24,463,6,1,5,11,0,2,2,89,4,3,45,127,0,0,1,0,0
 24-34,0,0.82,13.13,4.93,121.49,0.82,1.64,1.64,22.16,2.46,0,1.64,0.82,1.64,0,1.64,0.82,0.82,80.44,0,0,33.66,731.38,4.1,2.46,10.67,0,0,13.95,0,0,2.46,0.82,12.31,159.25,0,0,4.1,0,1.64
 36-46,0,1.61,9.67,0,255.4,0,0,1.61,33.03,2.42,0,0.81,1.61,0,0.81,0.81,0.81,1.61,93.46,0,1.61,29,726.71,0.81,6.45,1.61,0,0,8.06,1.61,1.61,1.61,0.81,0,178.86,0,0,4.03,0,0
 48-58,0,0.57,13.77,1.15,380.43,0,1.15,6.89,56.81,2.3,0,2.3,1.15,0.57,1.72,1.72,0,1.72,125.09,0.57,3.44,32.13,494.62,0.57,6.31,2.3,0,0,7.46,0.57,0,0.57,0,0,97.55,0,0,5.74,0,0.57
 60-70,0,0,16.69,1.96,381.81,0,2.94,5.89,56.93,4.91,0,0,2.94,0,1.96,0,1.96,0,129.56,0,2.94,18.65,385.74,1.96,4.91,0.98,0,0,3.93,0.98,0,0.98,0,0,35.33,0,4.91,5.89,0.98,1.96
 72-82,0,0,12.76,3.93,186.52,0.98,1.96,4.91,38.28,4.91,0,0.98,2.94,1.96,0.98,1.96,0.98,0,129.58,0,4.91,16.69,239.53,0,5.89,6.87,0,0.98,14.72,0,0,0,0.98,0,16.69,1.96,2.94,10.8,1.96,2.94
 84-94,0,0,15.93,2.12,145.5,1.06,2.12,7.43,29.74,9.56,0,1.06,9.56,4.25,2.12,2.12,0,0,79.65,0,11.68,19.12,143.38,0,5.31,2.12,0,1.06,19.12,0,0,2.12,1.06,0,14.87,1.06,3.19,6.37,1.06,1.06
 96-106,1.09,0,14.21,5.46,102.73,2.19,0,6.56,26.23,3.28,0,3.28,13.11,4.37,0,4.37,1.09,1.09,84.15,1.09,1.09,13.11,108.19,1.09,10.93,5.46,0,1.09,18.58,0,0,3.28,0,0,2.19,2.19,1.09,12.02,2.19,3.28
108-118,0,0,17.62,3.83,58.21,1.53,2.3,1.53,18.38,2.3,0,0,9.19,1.53,1.53,0,3.06,0.77,45.96,0,1.53,13.02,116.43,0.77,1.53,3.06,0,0,6.89,0,0,1.53,0,0,0.77,2.3,1.53,6.13,0.77,1.53
120,0,0,39.2,17.64,41.16,0,3.92,5.88,19.6,3.92,0,0,19.6,0,0,0,0,0,35.28,1.96,0,9.8,84.27,3.92,0,7.84,0,0,15.68,0,0,1.96,0,0,0,0,0,11.76,1.96,0
