stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0,5.64,0,0.81,0,0,0,6.45,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,6.89,0,2.3,0,0,0,4.59,0,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0.98,0,9.82,0,0,1.96,0,5.89,0.98,0,0,5.89,0,0,0
 72-82,0,0,2.94,5.89,0,3.93,0.98,11.78,1.96,0,0,0,0,0.98,0,21.6,0,0,12.76,0,14.72,0,0,0,0.98,2.94,2.94,0
 84-94,0,0,2.12,4.25,0,6.37,0,4.25,0,0,0,0,0,0,0,20.18,1.06,0,8.5,0,10.62,0,1.06,0,1.06,1.06,1.06,1.06
 96-106,0,0,4.37,12.02,2.19,5.46,0,4.37,2.19,1.09,0,1.09,0,3.28,1.09,14.21,1.09,1.09,10.93,0,25.14,0,0,0,0,3.28,3.28,0
108-118,0,0,3.06,13.02,1.53,6.13,1.53,9.96,0,0,0,0,0,1.53,0,22.21,0,1.53,12.26,0,19.15,0,0,0,0.77,2.3,3.06,0.77
120,1.96,0,3.92,7.84,0,0,0,5.88,1.96,0,0,0,1.96,1.96,0,11.76,0,0,15.68,0,13.72,1.96,1.96,1.96,0,1.96,0,0
