stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,171.31,1489.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,24.52,576.19,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,7.89,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,170.87,7.89,0,0,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.94,3.15,0,0,47.2,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,8,2,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,1,0,1,4,0,2,7,0,0,1,0
 24-34,0,0,0,3.28,0,10.67,0,0,0,3.28,0,0,1.64,0,0,0.82,0,0,6.57,0.82,0,6.57,81.26,0,0.82,2.46,0,0,4.93,0,0,2.46,17.24,0,0,1.64,0
 36-46,0,0,0,1.61,0,9.67,0,0,0.81,1.61,0,0,0,0,0,0,0,0,4.03,0,0,1.61,32.23,0,0.81,2.42,0,0,0,0,0,0,11.28,0,0,0,0
 48-58,0,0,0,1.15,0,6.89,0,0.57,0,1.72,0,0,0.57,0,0,0,0,0,8.03,0,0,0,20.66,0,1.15,0.57,0,0,0.57,0,0,0,7.46,0,0,1.15,0
 60-70,0,0,0,1.96,0.98,12.76,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,7.85,0,0.98,0,25.52,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,5.89,0,0,0,7.85,0,0,0,1.96,1.96,0,0,0.98,15.71,0,0.98,0.98,16.69,0,0,2.94,0,0,0.98,0,0,0,1.96,0.98,0,2.94,1.96
 84-94,0,0,0,1.06,0,5.31,0,0,1.06,2.12,0,0,0,0,0,0,0,0,4.25,0,1.06,1.06,10.62,1.06,1.06,0,0,0,1.06,0,1.06,0,2.12,0,0,1.06,1.06
 96-106,0,0,0,0,0,3.28,0,0,0,2.19,2.19,0,1.09,0,0,0,0,0,3.28,0,0,1.09,4.37,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0,0,5.36,0,0,0,7.66,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,5.88,0,1.96,0,3.92,0,0,1.96,0,0,0,1.96,0,0,0,0,3.92,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
