stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,5.26,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,207.67,5.26,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,50.35,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,16,2,0,4,0,0,0,4,2,0,0,0,0,0,0,0,1,5,0,0,3,48,1,0,1,1,0,2,0,2,1,0,11,9,0,0,1,0,0
 24-34,0,0,0.82,7.39,0.82,0,10.67,0,1.64,0,4.1,0,0,0,0.82,0,0,0,0,0,27.91,0.82,0,9.03,95.22,2.46,0.82,1.64,0,0,11.49,0,0,0.82,0.82,3.28,25.45,0,0,3.28,0,1.64
 36-46,0,0,0,3.22,0,0,6.45,0,0,0.81,5.64,0,0,0,0,0,0,0,0,0,9.67,0,0,4.83,40.28,0.81,0,1.61,0,0,6.45,0,0,0,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,4.02,0,0,11.48,0,0,0.57,14.35,0.57,0,0.57,0,0.57,0,0,0,0,22.38,0.57,0.57,5.74,25.25,0.57,0,1.72,0,0,9.75,0,0,0.57,0,0,6.89,0,0.57,1.72,0,0.57
 60-70,0,0,0,3.93,0.98,0,4.91,0,0,0,4.91,0,0,0.98,0,0,1.96,0.98,0.98,0,20.61,0,2.94,2.94,10.8,0,0,0,0,0.98,5.89,0,0,0,0,0,0.98,0,1.96,1.96,0,1.96
 72-82,0,0,0,4.91,1.96,0,12.76,0,0,1.96,16.69,3.93,0,0,1.96,0.98,0,0,0,0,61.84,0,1.96,3.93,7.85,0,0.98,1.96,0,1.96,13.74,0,0,0,0,0,0.98,0,0.98,3.93,1.96,0.98
 84-94,0,0,0,7.43,4.25,0,10.62,0,2.12,0,11.68,1.06,0,0,4.25,2.12,0,1.06,1.06,1.06,31.86,0,4.25,3.19,7.43,2.12,0,1.06,0,1.06,26.55,0,0,0,0,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,9.84,5.46,0,12.02,0,1.09,1.09,20.76,5.46,0,1.09,2.19,3.28,1.09,2.19,2.19,2.19,32.79,2.19,2.19,4.37,15.3,1.09,0,2.19,0,1.09,34.97,0,0,0,0,0,3.28,1.09,0,6.56,1.09,2.19
108-118,0,0,0,11.49,3.06,0.77,7.66,0.77,1.53,1.53,8.43,1.53,0,1.53,1.53,1.53,3.83,0,0.77,0.77,35.23,0.77,0.77,3.06,9.19,1.53,0.77,2.3,0,0,19.92,0,0,0,0,0,1.53,0,0.77,3.06,0.77,3.06
120,0,0,0,25.48,0,0,5.88,0,0,3.92,7.84,3.92,0,0,1.96,0,0,3.92,0,0,27.44,1.96,0,1.96,3.92,0,0,0,0,0,27.44,0,0,0,0,0,0,0,0,1.96,1.96,0
