stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,4.93,0,0,0,0,6.57,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0.81,0.81,0,0,0,0,1.61,0.81,0,0,6.45,0,0,0,0,4.83,0,0,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0.57,0,0.57,0,0,0.57,0.57,0,1.15,0.57,0,0,5.74,0,0,0,0,2.3,0,0.57,0.57,0,0,0.57
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0,12.76,0,0,0,0,1.96,0.98,0,0.98,0,0,0
 72-82,0,0,1.96,0,1.96,0.98,0,4.91,0,0,0.98,1.96,0.98,6.87,0.98,1.96,0,21.6,0,0,0,0,5.89,0,0.98,1.96,0,4.91,0
 84-94,0,0,5.31,0,1.06,1.06,3.19,1.06,0,0,0,0,2.12,2.12,2.12,0,0,8.5,0,0,0,0,4.25,0,0,1.06,1.06,8.5,0
 96-106,0,0,3.28,0,0,3.28,0,4.37,1.09,0,0,0,0,3.28,0,3.28,0,9.84,2.19,2.19,0,2.19,10.93,0,0,2.19,0,2.19,0
108-118,0,0,5.36,1.53,2.3,1.53,0,4.6,3.06,0,0,0,2.3,8.43,0,1.53,0,14.55,0.77,0,0,0.77,0.77,0,0.77,2.3,0,4.6,0
120,0,0,3.92,0,1.96,1.96,1.96,1.96,1.96,0,0,0,0,1.96,0,1.96,0,13.72,0,0,0,0,1.96,1.96,0,0,0,5.88,0
