stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,1,0,8,1,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,0,1.64,0,0,0,0.82,0,0,0,0,2.46,0,0,0,13.13,0,0,0,0,0.82,0,0.82,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81,14.5,0.81,0,0,0,0,0,0.81,0,2.42,0,0,0.81,0
 48-58,0,0,0.57,0,0,1.15,0.57,0,1.15,0,0,0,0,0,0,0,2.3,0,0,2.87,11.48,0,0,0,0,0,0,0,0,2.3,0,0,2.3,0
 60-70,0,0,0,0,0,5.89,0,0.98,0,0.98,1.96,0,0,0,0,0,5.89,0,0,0.98,69.69,0,0.98,0,0,0,0,0.98,0,9.82,0,0.98,4.91,0
 72-82,0,12.76,0,0.98,0,13.74,0,0,0,0,49.08,0,0,0,0,0,8.83,0,1.96,0.98,16.69,1.96,1.96,0,0,0,0,0.98,0,2.94,0,0.98,2.94,0
 84-94,0,14.87,2.12,0,0,5.31,0,0,0,1.06,135.94,0,0,0,0,0,5.31,0,0,0,13.81,1.06,1.06,0,0,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,22.95,2.19,3.28,0,12.02,0,0,0,4.37,303.81,0,3.28,0,1.09,2.19,5.46,0,2.19,0,61.2,2.19,1.09,0,2.19,7.65,0,0,0,2.19,2.19,0,5.46,1.09
108-118,0,14.55,1.53,2.3,1.53,6.89,0.77,0,0,4.6,406.73,0,0,0.77,1.53,2.3,16.09,0.77,0,0.77,55.15,0.77,0,0,0,3.06,0,0.77,0,0.77,0,0,0,0.77
120,0,21.56,1.96,1.96,0,3.92,0,1.96,0,3.92,313.57,0,0,0,0,7.84,3.92,0,0,0,74.47,0,0,0,0,0,0,0,0,0,0,0,5.88,0
