stage,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,taste
  7-9,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,4.59,0,0.57,2.3,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,1.96,0,0,2.94,0,0.98,0,4.91,0,3.93,0,0.98
 84-94,1.06,1.06,1.06,0,0,4.25,0,0,0,3.19,0,5.31,0,0
 96-106,1.09,0,1.09,0,1.09,4.37,0,2.19,0,1.09,0,29.51,0,0
108-118,0.77,0,0,0,0,1.53,0,0.77,0,0.77,0,12.26,0,0
120,1.96,0,0,0,0,1.96,1.96,0,0,0,0,11.76,1.96,0
