stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,1,0,0,1,1,0,5,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0.82,16.42,0.82,0.82,0,0,0,0,0,1.64,3.28,0,0.82
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0.81,0,23.36,0,0,0,0,0.81,0,0,0,5.64,0,0
 48-58,0,0,0,5.16,0,0,0,0,0.57,0,0,0,0.57,1.15,0,0,15.49,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,4.91,0.98,0,0.98,0,0,0.98,0,0,0,1.96,0,0,24.54,0,0,0,0,0.98,0,0,0,2.94,0,0
 72-82,0,0,0,6.87,0,0,2.94,0,0.98,0,0.98,0,0,3.93,0,0,62.83,0,0,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,9.56,0,0,0,0,0,0,0,2.12,0,1.06,0,0,30.8,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,5.46,0,0,3.28,1.09,0,0,0,1.09,0,1.09,0,1.09,46.99,0,0,6.56,0,0,0,0,0,0,1.09,0
108-118,0,0,0,3.83,0,0.77,0,0,0,0,0,0,0,3.06,0,0,62.81,0,0,3.83,0,0,0,0,0,0.77,0,0
120,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,58.79,0,1.96,1.96,0,1.96,0,0,0,0,0,0
