stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,73.56,619.09,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,0,0,0,0,0
  7-9,13.14,2.63,7.89,0,0,31.54,0,0,0,0,13.14,0,0,0,0,0,0,304.93,15.77,0,0,128.81,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,191.97,3.15,0,0,69.23,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0.82,8.21,0,0,0.82,0,0,0,0,0,0,3.28,0.82
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81,0.81,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0.57,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,1.96,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,6.87,0.98,0,0,0,0,0,0,0,0.98,3.93,0,6.87,0,0.98,0.98,0,1.96,0,0.98,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0,0,2.12,0,3.19,0,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,4.37,0,0,0,0,5.46,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
