stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,0,0.82,0,0,0,0,0,0,0,0.82,19.7,0,1.64,0,0,0,2.46,0,3.28,0,0
 36-46,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0.81,0,0,24.98,0.81,0.81,0,0,0,0.81,0,4.03,0,0
 48-58,0,0,0.57,0,12.62,0,0.57,0,0,0,0,0,0.57,1.72,0,0,24.67,1.15,0,0,0,0,1.15,0,2.87,0.57,1.15
 60-70,0,0,1.96,0,21.59,0,0.98,0,0,0,0,0,0.98,0,0,1.96,9.82,0,0,1.96,0,0,2.94,0,4.91,0,0
 72-82,0,0,0,0,7.85,0,0.98,0,0.98,0,0,0,0,4.91,0,0,8.83,0,0.98,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,5.31,1.06,0,2.12,0,1.06,0,0,0,0,0,0,7.43,0,0,0,0,0,5.31,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,2.19,1.09,0,8.74,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0.77,1.53,3.83,0,0.77,0.77,0,0,0.77,0,0,0.77,0,0,4.6,0,0,0,0,0,0,0,0.77,0,0
120,0,0,1.96,1.96,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0
