stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,0,0,0,0,4,12,0,0,0
 24-34,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,62.39,9.03,2.46,0,0,0,0,0,31.19,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0.81,115.21,4.83,1.61,0,0,1.61,0,0,39.48,0,0.81,0
 48-58,0,0,0.57,0,18.94,0.57,0,0,0,0,1.15,0,0,0.57,1.72,0,155.5,4.02,4.59,0,0,0,0,0,31.56,0,0.57,0
 60-70,0,0,0,0,80.48,0,0,0,2.94,0,0,0,0,1.96,1.96,0,260.1,10.8,6.87,0,0,0,0,0,29.45,0,0.98,0
 72-82,0,0,0.98,0,103.07,0.98,0,0.98,3.93,0.98,0,0,1.96,2.94,1.96,0,223.82,13.74,6.87,0,0,0,0.98,0,27.49,0,0,0
 84-94,0,1.06,1.06,0,65.85,0,0,0,8.5,2.12,0,1.06,1.06,1.06,3.19,0,95.58,4.25,10.62,0,0,0,0,0,9.56,3.19,1.06,1.06
 96-106,0,0,2.19,0,63.39,0,0,1.09,2.19,0,0,0,1.09,2.19,5.46,1.09,66.66,5.46,19.67,0,0,1.09,0,0,5.46,0,1.09,1.09
108-118,0,0,0,0,42.13,0.77,0,0.77,6.13,0,0,0,2.3,3.83,0,0,85.02,9.96,13.79,0,0.77,0,0,0,3.83,2.3,0,2.3
120,0,0,1.96,1.96,45.08,3.92,1.96,0,5.88,1.96,7.84,0,0,1.96,3.92,1.96,143.06,11.76,19.6,0,0,0,0,0,1.96,1.96,1.96,1.96
