stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,4.93,7.39,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,21.75,19.34,4.03,0,0,0,0,2.42,0,0,0
 48-58,0,1.15,0,2.87,0,2.3,0,0,0,33.85,25.25,8.61,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,3.93,0.98,0.98,0.98,0,0,58.89,15.7,4.91,0.98,0,0,0,2.94,0,0,0
 72-82,0,0,0,2.94,0,1.96,0,0,0,72.64,28.47,6.87,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,7.43,0,1.06,0,0,1.06,64.78,21.24,3.19,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,0,2.19,0,1.09,0,37.16,8.74,4.37,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,2.3,0,0.77,0,36,6.13,3.83,0,0.77,0.77,0,0.77,0.77,0,1.53
120,0,0,0,3.92,0,0,0,0,0,27.44,7.84,7.84,0,1.96,0,0,0,0,0,0
