stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,2.46,0.82,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,2.42,0.81,0.81,0,0.81,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,5.16,0.57,0,0,1.15,0.57,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,14.72,0,0,0,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,27.49,0.98,0,0,3.93,0,2.94,0.98,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,46.73,0,1.06,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,1.09,1.09,1.09,0,0,0,72.13,0,0,0,2.19,0,2.19,0,0,0
108-118,0,0,0,0.77,0,0,1.53,0,0,0.77,68.17,0.77,0,0,2.3,0,6.89,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,27.44,1.96,0,0,3.92,0,5.88,3.92,0,0
