stage,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0,5.75,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,2.42,0,0,4.83,0,0,0,1.61,0,0
 48-58,0,0.57,0,1.15,0,0,0,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0
 72-82,0,0.98,0,0.98,0.98,0,0.98,0.98,0,0,2.94,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,0
