stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,9.44,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,9,0,0,0,0,0,50,1,2,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,0.82,4.93,0,3.28,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0.82,0,0.82,42.68,0,6.57,0.82,0,0,79.62,0,0.82,0,0.82,22.98,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,4.03,0,0,0,2.42,0,0.81,0,0.81,0,2.42,0,0,97.49,0,1.61,0,0,0,63.65,0,0,0,0,37.87,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,6.31,0.57,0,0,3.44,0,0,1.15,1.15,0.57,0,0,0.57,1.15,1.15,0.57,0,76.89,0,0.57,0,0,0,33.85,0,0,0,0,37.87,0,0,1.72,0,0.57
 60-70,0,0,0,0,6.87,0,5.89,0,0,0,5.89,0,0,0,0.98,0,2.94,0,0,1.96,3.93,0,0,103.06,0,1.96,0,0,0,33.37,0,0,0,0,22.58,0,0,0,0,0
 72-82,0,0,0,0,8.83,0,22.58,0.98,0.98,0.98,6.87,0,0,0,4.91,0,1.96,0,0,5.89,0.98,0,0,127.62,0,2.94,0.98,0,0,30.43,0,0,0.98,0,21.6,0.98,0.98,0,3.93,0
 84-94,0,0,1.06,0,14.87,1.06,9.56,0,1.06,0,1.06,2.12,0,0,8.5,0,1.06,0,1.06,3.19,4.25,0,0,53.1,0,1.06,2.12,0,0,101.96,0,0,0,0,7.43,1.06,1.06,3.19,2.12,0
 96-106,0,0,0,0,21.86,0,7.65,0,1.09,0,4.37,2.19,0,1.09,10.93,0,2.19,1.09,0,4.37,2.19,1.09,0,50.27,0,2.19,0,0,1.09,61.2,0,0,0,0,1.09,2.19,1.09,1.09,0,0
108-118,0,0,0,0,18.38,3.06,3.83,0,0.77,0,5.36,6.89,0,0,8.43,0,1.53,1.53,0,1.53,0.77,0.77,0.77,42.89,0,1.53,0.77,0,0,62.04,0,0.77,0.77,0,3.83,2.3,0,1.53,0.77,0
120,0,0,0,0,25.48,0,5.88,3.92,0,0,1.96,1.96,0,0,11.76,0,1.96,1.96,0,0,1.96,0,0,52.91,0,3.92,0,0,0,41.16,0,0,0,0,0,0,0,0,0,0
