stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,6.29,0,0,0,0,47.2,3.15,0,0,6.29,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,2,1,2,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1,0,0,5,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,13.13,0,0,0.82,0,3.28,0,0,0,0.82,3.28,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0.81,0.81,13.7,0,1.61,0,0,0.81,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,2.3,0,0,0,1.15,0,5.74,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,2.94,0,0,0,6.87,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,7.85,0,0,0,4.91,0,7.85,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,2.12,0,0,0,2.12,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,0,0,0,5.46,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,3.83,0,0,0,1.53,0,4.6,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
