stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0
 24-34,0,0,1.64,0,0,1.64,0,0,0,0,0.82,0,0,0,0.82,0,0,0,72.24,0,0,0,0,0,0,0,7.39,0,0
 36-46,0,0,2.42,0,0,3.22,0,0,0.81,0,0,0,0,0,0,1.61,0,0,257.01,0,3.22,0,0,0,0,0,29,0,0
 48-58,0,0,3.44,0,0,24.67,0,0,0,0,0,0,0,0,0,1.15,0,0.57,329.36,0,2.3,0.57,0,0,0,0,29.26,0,0
 60-70,0,0,3.93,0,0,184.53,0.98,0,3.93,0,0.98,0,0.98,0,0,3.93,0,1.96,678.23,0,4.91,0,0,0,0.98,0,47.11,0,0
 72-82,0,0,5.89,0,0,417.21,0,0,18.65,0,0,0,0,0,0,15.71,0,1.96,804.96,0,0.98,0,0,0.98,0,0.98,46.14,0,0
 84-94,0,0,7.43,0,0,232.59,0,0,18.05,4.25,0,1.06,0,0,0,6.37,0,0,426.94,0,0,1.06,0,0,0,0,18.05,0,0
 96-106,0,1.09,5.46,1.09,1.09,274.3,3.28,0,22.95,0,0,1.09,0,0,0,9.84,1.09,1.09,370.48,0,0,2.19,0,0,3.28,0,8.74,0,1.09
108-118,0,0.77,2.3,0.77,0.77,147.06,0,0.77,13.79,1.53,0,0.77,0,0.77,0,6.13,0,0.77,374.56,0,1.53,1.53,0,0,0,0,12.26,1.53,0
120,0,0,7.84,1.96,1.96,125.43,1.96,0,5.88,0,1.96,0,0,0,0,0,0,3.92,399.8,1.96,3.92,0,0,0,0,0,5.88,0,1.96
