stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,heart,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,65.89,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,190.02,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,7.89,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,2,0,0,0,0,5,2,2,1,0,2,0
 24-34,0,0,0,0,0,1.64,0,1.64,0,0,0,0,9.85,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0.77
