stage,epidermis,eye,fin_epithelia,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0,268.42,0,0.82
 36-46,1.61,1.61,0.81,0.81,0,0,0,0,0,0.81,8.06,0,0,285.21,0,0
 48-58,0,1.72,1.15,0.57,0,0.57,0,1.15,1.15,0,5.16,0.57,0,172.14,0,2.3
 60-70,0,2.94,0,0,0,0,0,0.98,1.96,0,4.91,0,0,144.28,0.98,1.96
 72-82,0,0.98,0.98,0.98,0,0,0,1.96,0,0,3.93,0,0.98,102.09,0,0
 84-94,0,1.06,2.12,0,0,0,2.12,0,3.19,0,1.06,0,0,372.78,0,0
 96-106,3.28,1.09,3.28,2.19,1.09,0,1.09,1.09,4.37,0,7.65,0,0,277.58,0,0
108-118,2.3,1.53,0.77,0,0,0,6.13,0,4.6,0.77,1.53,0,0,217.53,0,0.77
120,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,117.59,0,0
