stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,13.14,13.14,0,0,31.54,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,215.55,10.51,0,0,73.6,7.89,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,232.88,12.59,0,0,110.14,0,0,6.29,3.15,3.15,0,0
 14-21,0,0,1,8,2,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,27,0,0,0,0,0,11,0,4,12,0,1
 24-34,0,0,0.82,1.64,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,26.27,0,0,0,0,0,0,0,0.82,4.93,0,0
 36-46,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0,0.81,0,0,0,0.81,0,0,17.72,0,1.61,0.81,0,0.81,0,0,0,2.42,0,0
 48-58,0,0,0,1.72,0.57,15.49,0.57,0,0.57,0,0,0,0,0.57,0,0,0,3.44,0.57,0,33.85,0,1.15,0.57,0,2.3,0,0.57,0,5.74,0,0
 60-70,0,0,0,0,0.98,3.93,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,0,8.83,0,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0.98,1.96,0,6.87,0,0,0,0,0,0,0,0.98,0,0,0,3.93,0,0,7.85,0,0.98,2.94,0,2.94,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,4.25,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,0,0,3.19,0,1.06,0,0,3.19,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,2.19,0,2.19,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,5.36,0,0,0.77,0.77,0,0,0,0,0.77,0.77,0.77,0.77,0,0.77,6.13,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,1.96,0,0,3.92,0,0,0,0,0,0
