stage,blastomeres,epidermis,erythrocytes,eye,gut,heart,immune,liver,mesenchyme,neural,otic,periderm,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,1.96,0,0,0.98,0,0,0,0.98,0,0.98,0,0
 84-94,0,2.12,0,2.12,0,0,1.06,0,2.12,1.06,0,1.06,0
 96-106,0,9.84,0,3.28,2.19,1.09,0,0,2.19,0,0,0,0
108-118,0,7.66,0.77,0,1.53,0,0.77,0.77,0,1.53,0,0,0
120,0,5.88,0,0,0,0,0,0,0,1.96,0,1.96,0
