stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,1,0,13,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,71.41,0,1.64,0,0,0,0.82,26.27,0,0,0,0,0
 36-46,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0,174.83,0.81,0.81,0,0,0.81,0,41.89,0,0,0,0,0
 48-58,0,0,0.57,30.41,0,0,1.15,1.72,0,0,0,0,0,0,1.15,2.87,0,206,0.57,1.72,0,0,0,0.57,32.13,0,0,0.57,0,0
 60-70,0,0,0,114.84,0,0,0,7.85,0.98,0,0,0,0.98,0,0,5.89,0,431.87,0.98,2.94,0,0,0,0,50.06,0,0,0,0,0.98
 72-82,0,2.94,0,114.85,0,0,0,15.71,1.96,0,0,0,0,1.96,0,11.78,0,327.88,1.96,1.96,0,0,0.98,0,28.47,0,0,0.98,0,1.96
 84-94,0,3.19,0,54.16,0,0,0,9.56,3.19,2.12,0,0,0,2.12,0,6.37,1.06,143.38,1.06,6.37,0,0,1.06,0,14.87,1.06,0,0,1.06,0
 96-106,0,3.28,0,69.94,1.09,0,0,13.11,1.09,2.19,0,1.09,0,1.09,0,4.37,0,103.82,0,6.56,0,0,2.19,1.09,7.65,0,0,0,1.09,1.09
108-118,0,1.53,0.77,64.34,0,0,0.77,11.49,3.06,2.3,0,1.53,0,3.06,0,7.66,2.3,130.98,1.53,1.53,0,0.77,0,0,2.3,2.3,0.77,0,0,0
120,0,0,0,47.03,0,1.96,0,7.84,0,0,1.96,0,0,1.96,0,9.8,0,129.35,3.92,0,0,0,0,3.92,13.72,0,0,0,1.96,0
