stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,27.91,0,1.64,0.82,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0.81,0,2.42,43.51,0.81,0,0,0.81,0,0,6.45,0,0,0
 48-58,0,0,0,0,0,8.03,0,3.44,0,0.57,3.44,0,0,56.23,0,0,0,0,0,0.57,7.46,0,0,0
 60-70,0,0,0,0.98,0,50.06,0,0.98,0,0,3.93,0,0,152.14,0,0,0,0.98,0,0,13.74,0,0,0.98
 72-82,0,0,0,0.98,0,136.45,0,3.93,0,0.98,5.89,0,0.98,167.86,0,0,0,0,0,0,5.89,0,0,0
 84-94,0,0,0,3.19,1.06,62.66,1.06,7.43,0,0,4.25,1.06,0,82.84,0,0,0,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,0,46.99,0,2.19,0,0,0,0,0,54.64,0,0,0,0,0,0,4.37,0,0,0
108-118,0,0,0,2.3,0.77,32.17,0,2.3,0.77,0,4.6,0,0,55.92,0,0,0,0,0,0.77,0.77,0.77,0,0
120,0,0,0,3.92,0,31.36,0,5.88,1.96,0,0,0,1.96,105.83,1.96,0,0,0,0,0,0,0,0,1.96
