stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,34.48,0,0,3.28,0,0,0,0,1.64,11.49,0,2.46,2.46,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,11.28,0,0,2.42,0,0,0,0,11.28,8.06,0,4.83,5.64,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,14.35,1.15,0,0.57,0,0,0,0,31.56,14.92,0.57,5.74,4.02,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0.57
 60-70,0,0,0.98,19.63,0.98,0,0,0,0,0,1.96,23.56,17.67,1.96,6.87,5.89,0,0,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,1.96,31.41,0,0.98,0.98,0,0,0,0,33.38,26.5,0.98,3.93,7.85,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0
 84-94,0,2.12,3.19,47.79,0,2.12,1.06,0,0,0,5.31,46.73,25.49,1.06,1.06,9.56,0,1.06,0,1.06,1.06,0,0,0,4.25,0,0,0
 96-106,0,5.46,4.37,34.97,1.09,0,0,0,0,1.09,1.09,31.69,17.49,2.19,2.19,7.65,1.09,1.09,0,2.19,3.28,0,0,0,2.19,0,2.19,0
108-118,0,2.3,7.66,22.21,0,1.53,0,0.77,0.77,0,4.6,39.83,7.66,0.77,0,6.89,0,0.77,0,1.53,3.83,0,0,0,0,0,0,0
120,0,0,1.96,17.64,0,0,0,1.96,0,0,1.96,9.8,11.76,0,1.96,15.68,0,0,1.96,0,0,1.96,0,0,3.92,0,1.96,0
