stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,5165.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1072.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,97.26,7.89,0,0,13.14,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,22.03,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,45,2,0,14,0,0,1,1,2,0,0,0,0,0,0,1,0,1,122,3,0,0,4,1,2,7,4,6,45,0,0,0,0,0
 24-34,0,0,0.82,4.1,0,0,4.93,0.82,0,3.28,2.46,0,0,0,0,0,2.46,0,1.64,0,0.82,101.79,0,6.57,0,0,0,0,0,0,0,17.24,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,5.64,0,0,1.61,1.61,0,0,0,0,0,0.81,0.81,5.64,0,0,58.01,0,2.42,0,0,1.61,0.81,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,1.15,1.72,0,0,6.31,0,0.57,8.61,1.15,0,0,0,0,0,0.57,0,25.82,0.57,2.3,33.28,0,0.57,1.15,0,1.15,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,0,6.87,0.98,0.98,10.8,0.98,0,0.98,0,0,0,0,0.98,41.22,0.98,0,34.35,0,0,2.94,0,1.96,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,7.85,0,0,7.85,0.98,0,5.89,3.93,0,0,0,0.98,0.98,0.98,0,44.17,0,3.93,38.28,0,0.98,0,0,1.96,0,0,0,0,2.94,0.98,1.96,0,0,0.98
 84-94,0,0,0,10.62,0,2.12,7.43,1.06,1.06,8.5,6.37,0,0,0,5.31,0,0,2.12,40.36,0,4.25,19.12,0,0,1.06,0,3.19,0,0,0,0,0,0,0,2.12,3.19,0
 96-106,0,0,0,18.58,1.09,0,4.37,2.19,0,3.28,3.28,0,1.09,0,3.28,0,3.28,0,21.86,0,1.09,24.04,0,2.19,0,0,7.65,2.19,0,0,0,1.09,0,2.19,2.19,2.19,0
108-118,0,0,0.77,9.96,0,0.77,5.36,1.53,0,5.36,3.06,0,0.77,0,3.06,0,0.77,0.77,16.09,0.77,1.53,29.11,0,0.77,0.77,0,3.06,1.53,0,0,0,0,0.77,0.77,2.3,0,0
120,0,0,0,7.84,0,0,5.88,3.92,0,5.88,0,0,0,1.96,1.96,0,0,0,9.8,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0
