stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,3,2,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0
 24-34,0,0,2.46,0,1.64,0.82,0.82,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0.82,17.24,0,0,0,0,0,0,0,0,7.39,1.64,0,0
 36-46,0,0,0.81,0,3.22,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,0,13.7,0,0,0,0,0.81,0,0,0,9.67,0,0,0
 48-58,0,0,0,0.57,8.03,0,0.57,2.3,0,0,0,0,0,0,0,5.74,0,0,1.72,13.77,0,0,0.57,0,0.57,0,0,0,5.74,0,0,0
 60-70,0,0,0.98,0,7.85,0,0,2.94,0.98,0,0,0,0.98,0,4.91,2.94,0,0.98,1.96,13.74,0,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,2.94,3.93,4.91,0,0,1.96,0.98,0,0,0,0,0.98,38.28,6.87,0,0,0.98,22.58,0,0,0,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,3.19,2.12,4.25,0,0,0,1.06,0,1.06,0,0,0,183.73,3.19,0,0,2.12,12.74,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,6.56,0,0,5.46,2.19,0,1.09,1.09,1.09,0,476.48,7.65,0,2.19,1.09,67.76,0,1.09,0,0,3.28,0,1.09,0,1.09,1.09,1.09,0
108-118,0,0,0.77,2.3,8.43,0,0,0,0.77,0,0,0.77,2.3,0.77,1053.97,6.89,0.77,0,2.3,45.96,0.77,1.53,1.53,0,3.06,0.77,0,0,0.77,0.77,0.77,0.77
120,0,0,1.96,1.96,3.92,0,0,1.96,0,0,1.96,1.96,0,0,591.86,0,0,0,1.96,43.12,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0
