stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,6.13,0,0,0,0,0,0,0,55.17,6.13,0,6.13,0,0,0,0,0
  7-9,10.51,5.26,15.77,0,2.63,0,0,0,0,0,28.92,13.14,0,383.79,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,22.03,6.29,0,151.05,0,9.44,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,3,0,0,48,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,1.61,0.81,4.03,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,7.46,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,3.93,0,0,0,1.96,0,11.78,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
