stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,18.4,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,115.66,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,2,0,0,1,1,1,1,0,0,2,30,0,6,23,0,0,0,1,7,2,0,9,27,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,12.31,1.64,0,0,0,0,0.82,0,0,0.82,9.85,0,2.46,22.16,0,0.82,0,0,0.82,0,0,0.82,9.85,0,0,0,0,0
 36-46,0,0,0,0,1.61,34.64,4.03,0,1.61,0,0,0,0,0,0,10.47,0,2.42,36.26,0,0,0.81,0,0.81,0,0.81,0,6.45,0,0,0,0,0
 48-58,0,0,0,0,0,41.89,10.9,0,1.72,0,0,1.15,0,0,0,8.61,0.57,1.15,44.76,0,1.15,1.72,0,0,0,0,0,8.03,0,0,0,0,0.57
 60-70,0,0,0,0,0,49.08,17.67,0,0.98,0.98,0,0,0,0,0,2.94,0,0.98,44.17,0,0,0,0,0.98,0,0,0,5.89,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,35.34,15.71,0.98,7.85,0,0,0,0,0.98,0.98,15.71,0,0,71.66,0,0,1.96,0,0,0,0,0,3.93,0.98,0,1.96,1.96,0
 84-94,0,0,0,0,0,36.11,9.56,0,3.19,0,0,1.06,0,1.06,0,5.31,0,1.06,29.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,40.44,7.65,0,2.19,0,0,0,1.09,0,1.09,6.56,0,0,18.58,0,1.09,1.09,0,2.19,0,0,0,0,0,0,1.09,2.19,1.09
108-118,0,0,0.77,0,0,28.34,10.72,0,3.83,0,0,0,0.77,0,0,7.66,0,0,28.34,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,25.48,11.76,0,0,0,0,0,1.96,0,0,5.88,0,1.96,17.64,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0
