stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,3.15,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,3.28,0.82,0,2.46,0,0,0.82,0,0.82
 36-46,0,0.81,0,0,1.61,0,0,0,0,0,0,0,4.03,0,0.81,2.42,0,0,0.81,0,0
 48-58,0,1.15,0,0,0.57,0,0,0,0,0,0,0.57,2.87,0.57,0.57,1.15,0,0,1.15,0,0
 60-70,0,2.94,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,3.19,0,1.06,0,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,0,0,0,0,3.28,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0.77,0.77,0,0,0,1.53,0,0,0,0.77,0.77,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,1.96,0
