stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,78.8,0,0,0,0,0,0,0.82,16.42,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,5.64,0,0,0,0,0,0,3.22,0,0,162.75,0,1.61,0,0,0,0,0,21.75,0,0,0,0
 48-58,0,0,0,0.57,0,9.18,0,0.57,0,10.9,0,0,0,0,0,0,4.02,0,0,298.95,0.57,0.57,0,0,0,0.57,0,13.77,0,0,0,0.57
 60-70,0,0,0,0.98,0,25.52,0,0,0,15.7,0,0.98,0,0.98,0,0,4.91,0,0,715.53,0,2.94,0,0,0,0.98,0,40.24,0,0,0.98,0
 72-82,0,0,1.96,5.89,0.98,64.79,0,0,0,35.34,0,0,0,0.98,0,0.98,12.76,0,3.93,821.65,0,2.94,1.96,0,0,0,0,36.32,0,0,0.98,0
 84-94,0,0,2.12,6.37,0,55.23,0,0,0,21.24,2.12,0,0,2.12,0,0,4.25,0,0,432.25,0,1.06,0,0,0,2.12,0,29.74,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,22.95,0,0,0,22.95,3.28,0,0,2.19,0,0,10.93,1.09,2.19,358.45,0,2.19,0,0,0,1.09,0,12.02,0,0,0,0
108-118,0,0,1.53,8.43,0,26.81,0.77,0,0.77,17.62,0.77,0,0.77,1.53,0.77,0,6.89,0.77,0.77,353.11,0,3.83,0.77,0,0,0.77,0.77,2.3,0.77,1.53,0.77,0
120,0,0,0,3.92,0,39.2,0,0,0,19.6,0,0,0,0,0,0,1.96,0,0,529.14,0,0,0,0,3.92,0,0,1.96,0,0,0,0
