stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,21.03,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,525.74,2.63,0,0,89.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,0,6.29,0,0,113.29,0,0,0,0,0,0,0,0,0,0,0,0,0,818.21,12.59,0,0,72.38,0,0,0,25.18,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,37,0,0,0,16,1,0,0,0,0,0,9,0,3,647,6,0,3,0,0,0,3,4,5,176,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,171.56,0,0,0.82,23.8,0,0,0,0,0,0,10.67,0,3.28,1008.01,1.64,2.46,2.46,0,0,1.64,0,4.1,0.82,178.13,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,205.45,0.81,0,0,51.56,0,0.81,0,0,0,0.81,2.42,0,3.22,757.33,0,2.42,0,0,0,2.42,0,0,0,174.02,0,0.81,0,1.61
 48-58,0.57,0,0,0,1.72,0,109.02,0,0.57,0.57,53.36,0,1.15,0,0,0,0,6.31,0,4.02,219.77,0,0.57,0,0,0.57,1.72,0,0.57,0,57.38,0,0,0,0
 60-70,0,0,0,0,0.98,0,72.63,0,0.98,0,76.56,0,0,0,0,0,0,3.93,0,0,127.6,0,0.98,0.98,0,0,0,0,0,0,18.65,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,51.05,0,0.98,1.96,128.6,0,0,0,0,0,0,14.72,0.98,2.94,110.93,0,2.94,5.89,0,0.98,0,0,0,0,14.72,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,33.99,0,0,1.06,48.85,0,0,0,0,0,0,7.43,0,0,82.84,0,0,0,0,0,0,0,0,0,8.5,0,1.06,1.06,0
 96-106,1.09,0,0,0,2.19,0,29.51,0,0,0,98.36,0,0,0,0,2.19,0,7.65,0,6.56,64.48,0,1.09,2.19,0,0,3.28,0,1.09,0,17.49,0,1.09,0,0
108-118,0,0,0.77,0,1.53,0,41.36,0,0,0,105.7,0.77,0,1.53,0.77,0,1.53,12.26,0.77,0,119.49,0,0.77,3.83,0,0,0,0,0,0,2.3,0,0.77,0,0
120,0,0,0,0,3.92,1.96,48.99,0,0,1.96,223.42,0,0,0,3.92,0,1.96,9.8,0,3.92,186.18,1.96,3.92,9.8,0,0,0,0,0,0,7.84,0,0,0,0
