stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,0,2,0,0,0,0,0,2,0,0,26,0,0,13,1,3,1,0,0,8,2,0,0,1,0,7,3,8,0,0,0,0,2
 24-34,0,0,0,0.82,13.95,0,0,126.41,9.03,0,0,0,2.46,0.82,0,0,63.21,0,5.75,19.7,0.82,8.21,8.21,0,9.03,33.66,0,0.82,1.64,3.28,3.28,3.28,13.95,27.91,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,1.61,0,0,134.55,24.98,0,0,0.81,6.45,1.61,0,0,17.72,2.42,1.61,21.75,0.81,16.92,0.81,0.81,13.7,40.28,0.81,0.81,0.81,0,4.03,24.98,8.06,72.51,0,0.81,0,0,0.81
 48-58,0,0,0,0,2.87,0,0,95.25,28.12,0.57,0,2.3,4.59,21.8,0,0.57,6.89,15.49,0,27.54,1.15,6.31,1.72,0,11.48,25.25,0,0,1.72,0,2.87,37.87,0,35,0,0,2.87,0,1.15
 60-70,0.98,0,0,0,1.96,0,0,90.3,21.59,0,0.98,1.96,4.91,8.83,0,1.96,7.85,34.35,0,55.95,0,8.83,0,0,13.74,24.54,0.98,0,1.96,0,4.91,16.69,0,26.5,0,0,0.98,0,0
 72-82,0,0,0,0,0,1.96,12.76,75.59,21.6,0.98,0,2.94,9.82,4.91,0.98,0,15.71,42.21,0,112.89,0,8.83,0.98,0,16.69,29.45,0,0.98,0,1.96,6.87,8.83,0,9.82,0.98,0,4.91,0.98,0
 84-94,0,0,0,5.31,5.31,2.12,37.17,83.9,12.74,0,0,1.06,32.92,12.74,0,1.06,36.11,37.17,0,435.44,0,16.99,0,3.19,9.56,35.05,0,0,0,7.43,7.43,27.61,0,4.25,3.19,0,2.12,0,1.06
 96-106,0,0,2.19,4.37,9.84,1.09,26.23,93.98,33.88,1.09,0,6.56,31.69,1.09,6.56,2.19,30.6,26.23,2.19,566.09,0,22.95,0,0,14.21,91.8,0,0,2.19,3.28,6.56,17.49,0,4.37,1.09,0,5.46,2.19,1.09
108-118,0,0,0.77,3.83,6.89,2.3,22.98,85.02,29.87,0.77,0,2.3,31.4,0,1.53,2.3,19.92,29.11,0.77,1006.48,0,16.85,1.53,1.53,11.49,75.83,0.77,0.77,1.53,3.06,6.13,14.55,0,4.6,0,0,7.66,0,0
120,0,0,0,1.96,15.68,1.96,11.76,50.95,33.32,1.96,0,0,33.32,0,0,0,11.76,19.6,0,388.04,0,5.88,0,0,21.56,48.99,0,1.96,0,0,3.92,1.96,0,5.88,0,0,0,0,0
