stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,gut,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,28.32,9.44,0,3.15,0,0,0
 14-21,0,0,0,6,1,0,0,0,0,1,0,2,3,0,13,5,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,4.1,0.82,0,0,0,0,2.46,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,1.09,0,1.09,2.19,0,0,0,0,0,5.46,0,0,0,9.84
108-118,0,0,0,0,0,0.77,0.77,2.3,0,0,0,0,0,1.53,0,0,0,5.36
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92
