stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,15,0,0,4,0,0,1,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,4.93,0,0,0,6.57,0.82,11.49,0,0,0,2.46,0,22.98,0,0,4.93,0.82,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,41.89,0,21.75,0,0,0,0.81,0,38.67,0,0,8.86,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,0.57,0,14.92,0.57,0,0,122.22,0,28.12,0,0,0,4.02,0,36.72,0,0,4.59,0,0,0,58.53,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,26.5,0,0,0,274.83,0,33.37,0,0,0.98,1.96,0,35.33,0,0,4.91,0.98,0,0,49.08,0,0,0,0
 72-82,0,0,0,1.96,0,0,52.03,0,0,0,445.67,0,67.73,0,0.98,1.96,2.94,0,43.19,0,0.98,7.85,0,0,0,18.65,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,0,50.98,0,0,0,279.32,0,98.77,0,0,0,5.31,2.12,13.81,0,0,9.56,0,0,0,15.93,0,4.25,0,0
 96-106,0,0,0,6.56,1.09,0,42.62,0,1.09,1.09,326.76,0,134.42,0,1.09,0,4.37,0,24.04,0,0,13.11,1.09,0,0,14.21,0,2.19,1.09,0
108-118,0,0,0.77,0,0,0.77,32.94,0,0,0,285.7,0,124.85,0,0,0,7.66,0.77,22.98,0,0,13.02,0,0.77,0,6.89,0,0.77,0.77,0
120,0,0,0,0,1.96,0,17.64,0,0,0,233.21,0,137.18,1.96,0,0,1.96,0,23.52,0,0,11.76,0,0,0,5.88,0,0,0,0
