stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,1,0,11,0,0,0,0,0,2,0,0,3,0,0,0,2,3,0,0,0,40,1,1,1,0,0,0,1,4,0,1,12,23,0,0,0,0,0
 24-34,0,0.82,0.82,3.28,0.82,0,25.45,0,0,0.82,1.64,0,0,0,0.82,12.31,0,0,0,7.39,15.6,0.82,0,4.1,230.66,1.64,2.46,1.64,0,0,0,0,0,0.82,0.82,6.57,73.06,0,0,5.75,0,2.46
 36-46,0,0,0.81,2.42,0.81,0,57.2,0,0,4.03,10.47,0,0,0.81,0.81,2.42,1.61,0.81,0.81,0.81,17.72,0.81,0,3.22,385.11,0,5.64,2.42,0,0,2.42,0.81,0,1.61,3.22,1.61,104.74,0,0,4.03,0,2.42
 48-58,0,0,0.57,2.3,1.15,0,207.14,2.3,1.15,4.02,35.58,0,0,1.72,0.57,2.3,1.72,0,1.72,0.57,35.58,0.57,1.15,10.9,530.2,0.57,4.59,0.57,0,0,0.57,0,0,1.15,8.61,0,112.47,0,0,1.72,0,9.18
 60-70,0,0,0,3.93,0,0,383.78,0.98,0.98,3.93,40.24,2.94,0,0,2.94,1.96,1.96,0.98,1.96,0.98,56.93,0,2.94,5.89,806.81,0.98,5.89,2.94,0,0.98,1.96,0,0,3.93,5.89,0,114.84,0.98,0.98,1.96,0,3.93
 72-82,0,0,3.93,6.87,1.96,0,491.81,1.96,0,5.89,94.24,4.91,0,3.93,5.89,5.89,0.98,2.94,6.87,2.94,96.2,0,4.91,13.74,874.66,0,10.8,13.74,0,0,1.96,0,0,0,5.89,0,53.99,2.94,1.96,6.87,0,2.94
 84-94,0,0,0,10.62,2.12,0,311.18,0,2.12,6.37,74.34,7.43,0,1.06,6.37,12.74,8.5,4.25,6.37,1.06,48.85,1.06,0,10.62,417.38,0,4.25,7.43,0,3.19,12.74,0,0,11.68,8.5,0,35.05,5.31,3.19,9.56,3.19,0
 96-106,0,0,6.56,13.11,7.65,1.09,240.43,1.09,0,3.28,77.59,7.65,0,2.19,12.02,6.56,2.19,2.19,24.04,0,46.99,1.09,2.19,8.74,348.62,1.09,4.37,12.02,0,1.09,9.84,0,0,7.65,8.74,0,21.86,1.09,0,4.37,0,4.37
108-118,0,0,3.83,13.02,0.77,1.53,204.51,1.53,1.53,3.83,58.21,5.36,0,2.3,4.6,3.83,3.83,5.36,28.34,0.77,40.6,0.77,0,9.96,477.96,1.53,5.36,6.89,0,2.3,7.66,0,0,8.43,6.89,0,7.66,1.53,3.06,6.89,2.3,2.3
120,0,0,1.96,3.92,3.92,3.92,101.91,3.92,0,0,52.91,1.96,0,1.96,9.8,3.92,3.92,1.96,5.88,0,31.36,0,1.96,13.72,331.2,1.96,5.88,5.88,0,0,3.92,0,0,7.84,1.96,0,9.8,0,0,3.92,0,0
