stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,37.76,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.01,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,3,52,8,0,130,0,0,3,3,4,1,1,0,0,0,12,0,0,7,1581,7,0,7,1,0,1,10,5,2,16,94,0,0,0,0,0
 24-34,0,0,0,8.21,0.82,0,21.34,0.82,0,2.46,0,0,9.85,0.82,0,0,1.64,5.75,0.82,0,1.64,992.42,0.82,2.46,2.46,0,0.82,0.82,0,0.82,0,0.82,69.77,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,40.28,0,0,12.09,0,0,4.83,0.81,0,0,0,2.42,0,0.81,2.42,374.64,0,2.42,0,0,0,0.81,0,0.81,0,0,49.95,0,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,26.4,1.15,0,12.62,0,0,1.72,0,0,0,0.57,5.74,0,0.57,1.72,76.32,0.57,1.72,0.57,0,0,0,0,0,0,0,17.21,0,0,0,0,0
 60-70,0,0,0,0,0,0,29.45,0.98,0,52.02,0.98,0.98,10.8,0,0.98,0.98,0,30.43,0,0,1.96,89.32,0,1.96,0,0,0,0,0,0,0,0,25.52,0.98,0,0,0,0
 72-82,0,2.94,0,3.93,1.96,0,28.47,1.96,0,147.25,2.94,0,13.74,0.98,0,7.85,0.98,56.94,0,0.98,5.89,104.06,0,2.94,0,0,0,0,0,0,0,0,5.89,7.85,0,1.96,1.96,0
 84-94,0,2.12,0,10.62,1.06,0,22.3,0,1.06,134.88,1.06,1.06,24.43,0,1.06,11.68,2.12,62.66,1.06,0,3.19,78.59,0,22.3,1.06,0,1.06,1.06,0,4.25,0,0,3.19,14.87,0,1.06,0,1.06
 96-106,0,4.37,0,20.76,3.28,0,31.69,4.37,0,250.26,10.93,1.09,30.6,3.28,1.09,18.58,4.37,31.69,0,0,1.09,110.38,0,25.14,2.19,0,3.28,5.46,0,1.09,0,0,2.19,50.27,0,4.37,1.09,0
108-118,0,2.3,0,15.32,1.53,0.77,30.64,3.83,0,206.04,4.6,0,31.4,2.3,0,21.45,8.43,28.34,0,2.3,1.53,115.66,1.53,24.51,0,0,1.53,4.6,0,1.53,0,0,3.83,68.17,0.77,5.36,1.53,0
120,0,0,0,7.84,3.92,1.96,15.68,5.88,1.96,195.98,5.88,0,35.28,1.96,0,5.88,5.88,13.72,0,1.96,1.96,146.98,1.96,1.96,5.88,0,1.96,3.92,0,0,0,0,1.96,21.56,0,0,1.96,0
