stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,ionocyte,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,1,1,1,1
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0.77,0,0,0
