stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,86,0,2,0,0,0,0,0,0,43,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,6.57,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,1.64,567.21,0,6.57,0.82,0,0,1.64,0,0,143.65,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,66.87,0,0,0,2.42,0.81,0,0,0,0,0,4.83,8.06,0,0,0,1945.69,1.61,16.11,0,0,0,0,0,0,304.54,0,0,2.42,0,0.81
 48-58,0,0,0,6.89,1.15,0,441.26,0.57,0.57,2.3,20.66,2.87,0,0,0,0,0,2.87,13.77,0,0,3.44,2655,1.72,4.59,1.15,0,0,1.72,0,0,387.89,0,0,1.15,0,2.3
 60-70,0,0,0.98,7.85,0,0,1275.98,1.96,0,0,22.58,16.69,0.98,0,0,0,0,5.89,27.48,0.98,0,0.98,3286.14,0.98,5.89,0.98,0,0,1.96,1.96,0.98,363.16,0,0,1.96,0,4.91
 72-82,0,0,2.94,11.78,0,0,1128.91,0,0,0,41.23,97.18,0,0.98,1.96,2.94,0.98,5.89,25.52,0,0,0,2228.37,0,4.91,0.98,0,0.98,0.98,0,0,177.68,1.96,0.98,0.98,2.94,0
 84-94,0,0,1.06,12.74,2.12,0,565,1.06,1.06,0,39.3,202.85,0,3.19,0,1.06,1.06,0,23.36,0,1.06,2.12,976.01,0,3.19,2.12,0,0,2.12,0,0,75.4,0,1.06,2.12,0,1.06
 96-106,0,0,8.74,9.84,3.28,1.09,368.29,0,3.28,0,30.6,327.85,0,1.09,0,0,2.19,4.37,20.76,0,1.09,0,759.53,0,3.28,0,0,1.09,8.74,1.09,0,36.06,0,0,0,1.09,0
108-118,0,0,2.3,15.32,2.3,0.77,243.58,0,0.77,1.53,16.09,437.36,2.3,0.77,1.53,1.53,0,5.36,10.72,0,0,0.77,808.86,0,3.06,1.53,0,0,2.3,0,0,16.85,0,0,0,1.53,0.77
120,0,0,1.96,9.8,1.96,0,215.58,1.96,0,0,19.6,272.41,0,0,0,0,0,5.88,15.68,0,1.96,0,640.85,1.96,5.88,0,0,0,3.92,0,0,9.8,0,0,1.96,0,0
