stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,13.14,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,53.5,0,0,0,0,0,3.15,0,0,0,0,0,0,50.35,0,0,12.59,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,6,19,16,0,1,4,0,0,0,0,0,2,3,16,0,1,4,0,0,8,0,15,0,3,0,0
 24-34,0,0,0,0,0.82,1.64,0.82,0,0,0,0,0,0,8.21,5.75,17.24,0.82,0,0,0,0,0,0.82,10.67,0,5.75,0,0
 36-46,0,0,0,0,0,0.81,3.22,0,0,0,0,0,0,4.03,1.61,18.53,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0.57,1.72,12.62,0,0,0,0,0,0.57,4.02,0.57,21.8,0,0,0,0,0,0,0,4.02,0,2.3,0,0.57
 60-70,0,0,0,0,0,4.91,20.61,0,0,0.98,0,0,0.98,1.96,0.98,29.45,0,0,0,0,0,0,0,12.76,0,2.94,0,0
 72-82,0,0,0,0.98,0,13.74,14.72,0,0,0,2.94,0,0,7.85,1.96,55.95,0,0,0,0,0,0,0,4.91,0,2.94,0,0
 84-94,0,0,1.06,0,0,5.31,15.93,0,0,0,5.31,0,0,6.37,1.06,35.05,0,0,0,0,0,0,0,2.12,1.06,1.06,1.06,1.06
 96-106,0,0,0,1.09,1.09,16.39,10.93,0,0,0,3.28,1.09,0,3.28,2.19,39.34,0,0,0,2.19,0,0,0,2.19,0,3.28,0,1.09
108-118,0,0,0,0,0,11.49,5.36,0,0,0,3.06,0,0.77,3.06,0.77,29.11,0,0,0,0.77,0,0,0,0.77,0,3.83,0,0
120,0,0,0,0,0,9.8,5.88,0,0,0,1.96,0,0,1.96,1.96,23.52,0,0,0,0,1.96,0,0,3.92,0,5.88,0,0
