stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0,14.78,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,1.64,100.14,0,27.91,0,0,12.31,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,93.46,0,27.39,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.16,0,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,2.3,0,0,0,70,0,26.4,0,0,0.57,0,1.72,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,13.74,0,0,0,4.91,0,0,0,0,0,0,0,0,0,6.87,0,0,0,101.1,0,13.74,0,0,0,0,2.94,0,0.98,0.98,0,0.98
 72-82,0,0.98,0,2.94,1.96,0,26.5,0.98,0,0.98,6.87,2.94,0,0.98,0,0,0.98,0,0,0,19.63,0.98,0,0.98,127.62,0,49.08,0,0,0,0,1.96,0.98,0,0,0.98,1.96
 84-94,0,0,0,3.19,2.12,1.06,23.36,0,0,0,5.31,1.06,1.06,0,1.06,0,1.06,1.06,0,1.06,5.31,0,0,0,79.65,0,74.34,0,0,3.19,0,3.19,1.06,2.12,0,0,3.19
 96-106,0,2.19,0,6.56,2.19,0,38.25,0,1.09,2.19,9.84,1.09,0,1.09,2.19,1.09,1.09,1.09,1.09,0,15.3,1.09,1.09,2.19,98.36,0,108.19,1.09,0,7.65,1.09,1.09,1.09,4.37,5.46,0,1.09
108-118,0,0.77,0,3.83,0.77,0.77,19.92,0,0,0,4.6,3.06,0,0,0.77,0,0,0,0.77,0,14.55,0,1.53,1.53,118.72,0,78.89,0.77,0,5.36,0.77,2.3,0.77,0,1.53,0,0.77
120,0,0,0,0,1.96,1.96,21.56,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,139.14,1.96,54.87,1.96,0,1.96,0,0,0,0,0,0,0
