stage,blastomeres,eye,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0.98
 72-82,0,4.91,0.98,0.98,0.98,0,1.96,0,0,4.91,0.98,0,1.96
 84-94,0,2.12,0,0,0,0,0,1.06,1.06,4.25,0,0,0
 96-106,0,12.02,1.09,2.19,0,0,3.28,0,0,3.28,2.19,0,12.02
108-118,0,6.89,0.77,2.3,0,0,2.3,0,0,2.3,0.77,0,10.72
120,0,3.92,0,11.76,0,0,3.92,0,0,7.84,1.96,1.96,21.56
