stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,36.94,0,0,0,0,0,0.82,0,14.78,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0.81,0,74.93,0.81,0,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,2.87,0,0,55.66,0,0,0,0,0,0,0.57,8.61,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,4.91,0,0.98,0,0,0,8.83,2.94,0,103.06,0,0,0,0.98,0,0,0,8.83,0.98,0,1.96
 72-82,0,0,0.98,0,4.91,0.98,0,8.83,0,2.94,0,0,0.98,8.83,5.89,0.98,101.11,0,0,0,3.93,0.98,0.98,0,3.93,2.94,0.98,7.85
 84-94,0,0,4.25,0,9.56,0,1.06,7.43,1.06,2.12,0,3.19,0,4.25,4.25,0,49.92,0,0,0,1.06,0,0,0,3.19,3.19,0,14.87
 96-106,0,0,0,0,2.19,0,0,5.46,0,1.09,1.09,0,0,2.19,3.28,1.09,46.99,0,0,0,2.19,0,0,0,0,2.19,0,20.76
108-118,0,0,0,0,13.02,0.77,0,3.06,0,0,0,3.83,0,3.83,4.6,2.3,46.72,0,0,0,3.06,0,0,0,0.77,2.3,0,9.96
120,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,7.84,0,0,76.43,0,1.96,0,1.96,0,0,0,1.96,1.96,1.96,11.76
