stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,53.5,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0
 24-34,0,0,0,0,2.46,0,0,2.46,0,0,0,0,2.46,0,39.4,4.1,0,0,0.82,0,0.82,5.75,0,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0.81,0,29,0.81,0,0,0,0,0.81,5.64,0,0
 48-58,0,0,0,0,2.87,0,0,1.72,0,0,0,0,1.72,0,20.08,0.57,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,13.74,0,0,1.96,0,0,0,0.98,0.98,0,35.33,1.96,0,0,0.98,0,0.98,3.93,0,0
 72-82,0,0.98,0,0,35.34,0,0,9.82,0.98,0.98,0,0,1.96,0.98,92.28,25.52,0,0,0.98,0,0,6.87,0.98,0
 84-94,0,0,0,0,12.74,0,0,3.19,0,0,0,0,1.06,0,32.92,10.62,1.06,0,0,0,1.06,3.19,0,0
 96-106,0,1.09,1.09,0,9.84,0,0,5.46,0,1.09,0,1.09,0,0,16.39,15.3,1.09,0,0,0,1.09,1.09,0,0
108-118,0,0,0.77,0,12.26,0.77,0.77,4.6,0,0,0,1.53,0.77,0,26.81,10.72,0,0,0,0,0,1.53,0,0
120,0,0,0,1.96,5.88,0,0,7.84,0,0,1.96,1.96,3.92,0,29.4,17.64,0,0,1.96,0,0,0,1.96,0
