stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,neural,otic,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,43.51,0,0,0.82,8.21,0,5.75,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,45.12,0,0,0,5.64,0,7.25,0,2.42,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0.57,46.48,0,0.57,0,9.75,0,1.72,0,2.3,0.57
 60-70,0,0.98,0,4.91,0,0,0,0,0,0,35.33,0,0.98,0,23.56,0,2.94,0,4.91,0
 72-82,0,3.93,0,3.93,0,1.96,0,0,0.98,0,63.81,0,0,0.98,12.76,0,8.83,0,3.93,0
 84-94,0,5.31,0,2.12,0,1.06,0,0,0,0,62.66,0,0,1.06,4.25,0,11.68,0,0,0
 96-106,0,8.74,0,3.28,0,0,1.09,1.09,0,0,88.52,0,0,0,7.65,0,20.76,0,0,0
108-118,0,9.96,0.77,1.53,0,2.3,0,0.77,0.77,0,60.51,0,2.3,0,2.3,0.77,22.21,0.77,0,0.77
120,0,13.72,0,0,0,3.92,0,0,1.96,0,60.75,1.96,0,0,7.84,0,13.72,0,0,0
