stage,axial,erythrocytes,eye,glial,hatching.gland,muscle,neural,olfactory,periderm,spinal.cord,vasculature
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,4.59,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,2.94,0,0,0.98,0
 72-82,0,0.98,0.98,0,0,0,1.96,2.94,0,0,0.98
 84-94,0,0,1.06,0,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,0,0,3.28,2.19,0,0,0
108-118,0,0,0.77,0,0,0,1.53,1.53,0,0,0
120,0,0,0,0,0,0,3.92,1.96,0,0,0
